"1.01";"PUNTURA DELLE CISTERNE";;;;;"4";
"0102";"PUNTURA VENTRICOLARE MEDIANTE CATETERE GIA' IMPIANTATO";;;;;"4";
"0109";"ALTRA PUNTURA DEL CRANIO";;;;;"4";
"011";"PROCEDURE DIAGNOSTICHE SUL CRANIO, SUL CERVELLO E SULLE MENINGI CEREBRALI";;;;;"3";
"0111";"BIOPSIA (PERCUTANEA) (AGOBIOPSIA) DELLE MENINGI CEREBRALI";;;;;"4";
"0112";"BIOPSIA A CIELO APERTO DELLE MENINGI CEREBRALI";;;;;"4";
"0113";"BIOPSIA (PERCUTANEA) (AGOBIOPSIA) DI LESIONE CEREBRALE";;;;;"4";
"0114";"BIOPSIA A CIELO APERTO DI LESIONE CEREBRALE";;;;;"4";
"0115";"BIOPSIA DELLE OSSA CRANICHE";;;;;"4";
"0118";"ALTRE PROCEDURE DIAGNOSTICHE SUL CERVELLO E SULLE MENINGI CEREBRALI";;;;;"4";
"0119";"ALTRE PROCEDURE DIAGNOSTICHE SUL CRANIO";;;;;"4";
"012";"CRANIOTOMIA E CRANIECTOMIA";;;;;"3";
"0121";"INCISIONE E DRENAGGIO DEI SENI CRANICI";;;;;"4";
"0122";"RIMOZIONE DI NEUROSTIMOLATORE INTRACRANICO";;;;;"4";
"0123";"RIAPERTURA DI PREGRESSA CRANIOTOMIA";;;;;"4";
"0124";"ALTRA CRANIOTOMIA";;;;;"4";
"0125";"ALTRA CRANIECTOMIA";;;;;"4";
"013";"INCISIONE CEREBRALE E DELLE MENINGI";;;;;"3";
"0131";"INCISIONE DELLE MENINGI CEREBRALI";;;;;"4";
"0132";"LOBOTOMIA E TRATTOTOMIA";;;;;"4";
"0139";"ALTRE INCISIONI CEREBRALI";;;;;"4";
"014";"INTERVENTI SUL TALAMO E SUL GLOBO PALLIDO";;;;;"3";
"0141";"INTERVENTI SUL TALAMO";;;;;"4";
"0142";"INTERVENTI SUL GLOBO PALLIDO";;;;;"4";
"015";"ALTRE ASPORTAZIONI O ALTRI INTERVENTI DI DEMOLIZIONE SUL CERVELLO E SULLE MENINGI CEREBRALI";;;;;"3";
"0151";"ASPORTAZIONE DI LESIONE O DI TESSUTO DELLE MENINGI CEREBRALI";;;;;"4";
"0152";"EMISFERECTOMIA";;;;;"4";
"0153";"LOBECTOMIA CEREBRALE (PER LESIONE ORGANICA)";;;;;"4";
"0159";"ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO CEREBRALE";;;;;"4";
"016";"ASPORTAZIONE DI LESIONI DEL CRANIO";;;;;"4";
"020";"CRANIOPLASTICA";;;;;"3";
"0201";"APERTURA DI SUTURE DEL CRANIO";;;;;"4";
"0202";"RIPOSIZIONAMENTO DI FRAMMENTI DI FRATTURA AFFOSSATA DEL CRANIO";;;;;"4";
"0203";"FORMAZIONE DI LEMBI CRANICI";;;;;"4";
"0204";"INNESTO OSSEO SUL CRANIO";;;;;"4";
"0205";"INSERZIONE DI PLACCA CRANICA SOSTITUZIONE DI PLACCA DEL CRANIO";;;;;"4";
"0206";"ALTRI TIPI DI OSTEOPLASTICA DEL CRANIO";;;;;"4";
"0207";"RIMOZIONE DI PLACCA DEL CRANIO";;;;;"4";
"021";"TRATTAMENTO DI LESIONE DELLE MENINGI CEREBRALI";;;;;"3";
"0211";"SUTURA SEMPLICE DELLA DURA MADRE";;;;;"4";
"0212";"ALTRA RIPARAZIONE DELLE MENINGI CEREBRALI";;;;;"4";
"0213";"LEGATURA DEI VASI DELLE MENINGI:";;;;;"4";
"0214";"PLESSECTOMIA COROIDEA";;;;;"4";
"022";"VENTRICOLOSTOMIA";;;;;"4";
"023";"ANASTOMOSI VENTRICOLARE EXTRACRANICO";;;;;"3";
"0231";"ANASTOMOSI FRA VENTRICOLO E STRUTTURE DELLA TESTA E DEL COLLO";;;;;"4";
"0232";"ANASTOMOSI FRA VENTRICOLO E SISTEMA CIRCOLATORIO";;;;;"4";
"0233";"ANASTOMOSI FRA VENTRICOLO E CAVITA' TORACICA";;;;;"4";
"0234";"ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI";;;;;"4";
"0235";"ANASTOMOSI FRA VENTRICOLO ED APPARATO URINARIO";;;;;"4";
"0239";"ALTRI INTERVENTI PER IL DRENAGGIO VENTRICOLARE";;;;;"4";
"024";"REVISIONE, RIMOZIONE E IRRIGAZIONE DI ANASTOMOSI VENTRICOLARE";;;;;"3";
"0241";"IRRIGAZIONE DI ANASTOMOSI VENTRICOLARE";;;;;"4";
"0242";"SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE";;;;;"4";
"0243";"RIMOZIONE DI ANASTOMOSI VENTRICOLARE";;;;;"4";
"029";"ALTRI INTERVENTI SU CRANIO, CERVELLO E MENINGI CEREBRALI";;;;;"3";
"0291";"SEPARAZIONE DI ADERENZE CORTICALI";;;;;"4";
"0292";"INTERVENTI RIPARATIVI DEL CERVELLO";;;;;"4";
"0293";"IMPIANTO DI NEUROSTIMOLATORE INTRACRANICO";;;;;"4";
"0294";"APPLICAZIONE O SOSTITUZIONE DI TRAZIONE TRANSCRANICA O DISPOSITIVO DI HALO";;;;;"4";
"0295";"RIMOZIONE DI TRAZIONE TRANSCRANICA O DISPOSITIVO DI HALO";;;;;"4";
"0296";"APPLICAZIONE DI ELETTRODI SFENOIDALI";;;;;"4";
"0299";"ALTRI INTERVENTI SUL CRANIO, SUL CERVELLO E SULLE MENINGI";;;;;"4";
"030";"ESPLORAZIONE E DECOMPRESSIONE DI STRUTTURE DEL CANALE VERTEBRALE";;;;;"3";
"0301";"RIMOZIONE DI CORPO ESTRANEO DAL CANALE VERTEBRALE";;;;;"4";
"0302";"RIAPERTURA DI PREGRESSA LAMINECTOMIA";;;;;"4";
"0309";"ALTRA ESPLORAZIONE E DECOMPRESSIONE DEL CANALE VERTEBRALE";;;;;"4";
"031";"SEZIONE DELLE RADICI DEI NERVI INTRASPINALI";;;;;"4";
"032";"CORDOTOMIA";;;;;"3";
"0321";"CORDOTOMIA PERCUTANEA";;;;;"4";
"0329";"ALTRA CORDOTOMIA";;;;;"4";
"033";"PROCEDURE DIAGNOSTICHE SUL MIDOLLO SPINALE E SULLE STRUTTURE DEL CANALE VERTEBRALE";;;;;"3";
"0331";"RACHICENTESI";;;;;"4";
"0332";"BIOPSIA DI LESIONE SPINALE";;;;;"4";
"0339";"ALTRE PROCEDURE DIAGNOSTICHE SUL MIDOLLO SPINALE E SULLE STRUTTURE DEL CANALE VERTEBRALE";;;;;"4";
"034";"ASPORTAZIONE O DEMOLIZIONE DI LESIONE DEL MIDOLLO O DELLE MENINGI SPINALI";;;;;"4";
"035";"INTERVENTI DI PLASTICA SULLE STRUTTURE DEL MIDOLLO";;;;;"3";
"0351";"RIPARAZIONE DI MENINGOCELE SPINALE";;;;;"4";
"0352";"RIPARAZIONE DI MIELOMENINGOCELE SPINALE";;;;;"4";
"0353";"RIPARAZIONE DI FRATTURE VERTEBRALI";;;;;"4";
"0359";"ALTRI INTERVENTI DI RIPARAZIONE E DI PLASTICA SUL MIDOLLO SPINALE";;;;;"4";
"036";"SEPARAZIONE DI ADERENZE DEL MIDOLLO SPINALE E DELLE RADICI DEI NERVI";;;;;"4";
"037";"ANASTOMOSI SPINALE";;;;;"3";
"0371";"ANASTOMOSI SPINALE SUBARACNOIDEO-PERITONEALE";;;;;"4";
"0372";"ANASTOMOSI SPINALE SUBARACNOIDEO URETERALE";;;;;"4";
"0379";"ALTRO ANASTOMOSI SPINALE";;;;;"4";
"038";"INIEZIONE DI FARMACI CITOTOSSICI NEL CANALE VERTEBRALE";;;;;"4";
"039";"ALTRI INTERVENTI SUL MIDOLLO E SULLE STRUTTURE DEL CANALE VERTEBRALE";;;;;"3";
"0390";"INSERZIONE DI CATETERE NEL CANALE VERTEBRALE PER INFUSIONE DI SOSTANZE TERAPEUTICHE O PALLIATIVE";;;;;"4";
"0391";"INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA";;;;;"4";
"0392";"INIEZIONE DI ALTRI FARMACI NEL CANALE VERTEBRALE";;;;;"4";
"0393";"COLLOCAZIONE O SOSTITUZIONE DI NEUROSTIMOLATORE SPINALE";;;;;"4";
"0394";"RIMOZIONE DI NEUROSTIMOLATORE SPINALE";;;;;"4";
"0395";"SPINAL BLOOD PATCH";;;;;"4";
"0396";"DENERVAZIONE PERCUTANEA DELLA FACCETTA ARTICOLARE";;;;;"4";
"0397";"REVISIONE DI ANASTOMOSI SPINALE";;;;;"4";
"0398";"RIMOZIONE DI ANASTOMOSI SPINALE";;;;;"4";
"0399";"ALTRI INTERVENTI SUL MIDOLLO SPINALE E SULLE STRUTTURE DEL CANALE VERTEBRALE";;;;;"4";
"040";"INCISIONE, SEZIONE ED ASPORTAZIONE DEI NERVI CRANICI E PERIFERICI";;;;;"3";
"0401";"ASPORTAZIONE DI NEUROMA ACUSTICO";;;;;"4";
"0402";"SEZIONE DEL NERVO TRIGEMINO";;;;;"4";
"0403";"SEZIONE O SCHIACCIAMENTO DI ALTRI NERVI CRANICI E PERIFERICI";;;;;"4";
"0404";"ALTRA INCISIONE DEI NERVI CRANICI E PERIFERICI";;;;;"4";
"0405";"GANGLIECTOMIA DEL GANGLIO DI GASSER";;;;;"4";
"0406";"ALTRE GANGLIECTOMIE DI NERVI CRANICI O PERIFERICI";;;;;"4";
"0407";"ALTRA RESEZIONE O ASPORTAZIONE DEI NERVI CRANICI E PERIFERICI";;;;;"4";
"041";"PROCEDURE DIAGNOSTICHE SUL SISTEMA NERVOSO PERIFERICO";;;;;"3";
"0411";"BIOPSIA (PERCUTANEA) (AGOBIOPSIA) DEI NERVI CRANICI O PERIFERICI O DEI GANGLI";;;;;"4";
"0412";"BIOPSIA A CIELO APERTO DEI NERVI CRANICI O PERIFERICI O DEI GANGLI";;;;;"4";
"0419";"ALTRE PROCEDURE DIAGNOSTICHE SUI NERVI CRANICI O PERIFERICI O SUI GANGLI";;;;;"4";
"042";"DEMOLIZIONE DI NERVI CRANICI E PERIFERICI";;;;;"4";
"043";"SUTURE DEI NERVI CRANICI E PERIFERICI";;;;;"4";
"044";"SEPARAZIONE DI ADERENZE E DECOMPRESSIONE DEI NERVI CRANICI E PERIFERICI";;;;;"3";
"0441";"DECOMPRESSIONE DELLE RADICI DEL TRIGEMINO";;;;;"4";
"0442";"ALTRA DECOMPRESSIONE DI NERVI CRANICI";;;;;"4";
"0443";"LIBERAZIONE DEL TUNNEL CARPALE";;;;;"4";
"0444";"LIBERAZIONE DEL TUNNEL TARSALE";;;;;"4";
"0449";"ALTRE DECOMPRESSIONI DEI NERVI PERIFERICI E DEI GANGLI, O SEPARAZIONE DI ADERENZE";;;;;"4";
"045";"INNESTO DI NERVI CRANICI O PERIFERICI";;;;;"4";
"046";"TRASPOSIZIONE DI NERVI CRANICI E PERIFERICI";;;;;"4";
"047";"ALTRA NEUROPLASTICA CRANICA O PERIFERICA";;;;;"3";
"0471";"ANASTOMOSI IPOGLOSSO-FACIALE";;;;;"4";
"0472";"ANASTOMOSI ACCESSORIO-FACIALE";;;;;"4";
"0473";"ANASTOMOSI ACCESSORIO-IPOGLOSSO";;;;;"4";
