HEADER, 'TEST', '03 1234 6789','','Testing Company','PO Box 9822', 'Watford', 'Melbourne','3844','VICTORIA','AUSTRALIA','12/05/07','TFG-0022122'
LINE, 'DVD_ABUG', 10, 12.50
LINE, 'DVD_CUFI', 3, 19.99
LINE, 'DVD_TSAB', 2, 17.33
HEADER, 'ONE TWO THREE OCLOCK', '03 75423 424','123@oclock.com.au','The Planets Co Pty Ltd','PO Box 2115', 'Orange', 'Wagga Wagga','3024','VICTORIA','AUSTRALIA','10/05/07','TGG-7312445'
LINE, 'DVD_REDC', 3, 14.99
LINE, 'DVD_SPEED', 2, 13.75
LINE, 'DVD_TSAB', 5, 17.33
HEADER, 'TEST', '03 1234 6789','','Testing Company','PO Box 9822', 'Watford', 'Melbourne','3844','VICTORIA','AUSTRALIA','12/05/07','TFG-0022122'
LINE, 'DVD_RPMK', 8, 19.63
LINE, 'DVD_FRAN', 8, 16.30
